location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
Africa,2021-01-09,0.0,0.0,0.0,0.0,0.0
Africa,2021-01-10,0.0,0.0,0.0,0.0,500.0
Africa,2021-01-11,0.0,0.0,0.0,0.0,500.0
Africa,2021-01-12,0.0,0.0,0.0,0.0,500.0
Africa,2021-01-13,2000.0,2000.0,0.0,0.0,500.0
Africa,2021-01-14,0.0,0.0,0.0,0.0,600.0
Africa,2021-01-15,4000.0,4000.0,0.0,0.0,667.0
Africa,2021-01-16,7000.0,7000.0,0.0,3000.0,1000.0
Africa,2021-01-17,0.0,0.0,0.0,0.0,1118.0
Africa,2021-01-18,0.0,0.0,0.0,0.0,1236.0
Africa,2021-01-19,10976.0,10976.0,0.0,0.0,1354.0
Africa,2021-01-20,13163.0,13163.0,0.0,2187.0,1595.0
Africa,2021-01-21,0.0,0.0,0.0,0.0,1718.0
Africa,2021-01-22,16890.0,16890.0,0.0,0.0,1841.0
Africa,2021-01-23,18353.0,18353.0,0.0,1463.0,1622.0
Africa,2021-01-24,18353.0,18353.0,0.0,0.0,1433.0
Africa,2021-01-25,19889.0,19889.0,0.0,1536.0,1463.0
Africa,2021-01-26,22712.0,22712.0,0.0,2823.0,1677.0
Africa,2021-01-27,25587.0,25587.0,0.0,2875.0,1775.0
Africa,2021-01-28,28779.0,28779.0,0.0,3192.0,1965.0
Africa,2021-01-29,30861.0,30861.0,0.0,2082.0,1996.0
Africa,2021-01-30,122206.0,32176.0,0.0,91345.0,14836.0
Africa,2021-01-31,158206.0,32176.0,0.0,36000.0,19979.0
Africa,2021-02-01,236712.0,36601.0,0.0,78506.0,30975.0
Africa,2021-02-02,295127.0,37806.0,0.0,58415.0,38916.0
Africa,2021-02-03,347149.0,38716.0,5.0,52022.0,45937.0
Africa,2021-02-04,390474.0,38716.0,5.0,43325.0,51671.0
Africa,2021-02-05,446986.0,38716.0,5.0,56512.0,59446.0
Africa,2021-02-06,504800.0,39218.0,1586.0,57814.0,54656.0
Africa,2021-02-07,0.0,0.0,0.0,0.0,55849.0
Africa,2021-02-08,593502.0,39343.0,3980.0,0.0,50970.0
Africa,2021-02-09,661263.0,39352.0,6700.0,67761.0,52305.0
Africa,2021-02-10,795836.0,39355.0,10335.0,134573.0,64098.0
Africa,2021-02-11,908796.0,39581.0,13867.0,112960.0,74046.0
Africa,2021-02-12,1165581.0,39581.0,13867.0,256785.0,102656.0
Africa,2021-02-13,1446178.0,43428.0,14181.0,280597.0,134483.0
Africa,2021-02-14,0.0,0.0,0.0,0.0,151062.0
Africa,2021-02-15,1766999.0,43437.0,16441.0,0.0,167642.0
Africa,2021-02-16,1965819.0,43444.0,18176.0,198820.0,186365.0
Africa,2021-02-17,2147659.0,47104.0,19512.0,181840.0,193118.0
Africa,2021-02-18,2303964.0,50146.0,22925.0,156305.0,199310.0
Africa,2021-02-19,2513999.0,2412533.0,32990.0,210035.0,192631.0
Africa,2021-02-20,2616931.0,2506856.0,45489.0,102932.0,167250.0
Africa,2021-02-21,2622421.0,2512346.0,50463.0,5490.0,145119.0
Africa,2021-02-22,2745898.0,2625632.0,68325.0,123477.0,139843.0
Africa,2021-02-23,2854362.0,2724750.0,86927.0,108464.0,126935.0
Africa,2021-02-24,3153546.0,3017856.0,102499.0,299184.0,143698.0
Africa,2021-02-25,3434869.0,3292724.0,119792.0,281323.0,161558.0
Africa,2021-02-26,3677524.0,3482568.0,183604.0,242655.0,166218.0
Africa,2021-02-27,3866267.0,3605812.0,252758.0,188743.0,178477.0
Africa,2021-02-28,3873994.0,3613539.0,255982.0,7727.0,178796.0
Africa,2021-03-01,4091848.0,3759638.0,330257.0,217854.0,192279.0
Africa,2021-03-02,4252773.0,3859686.0,394124.0,160925.0,199773.0
Africa,2021-03-03,4424168.0,3963877.0,468861.0,171395.0,181517.0
Africa,2021-03-04,4570159.0,4057507.0,529681.0,145991.0,162184.0
Africa,2021-03-05,4808230.0,4208668.0,624742.0,238071.0,161529.0
Africa,2021-03-06,5013197.0,4334635.0,705135.0,204967.0,163847.0
Africa,2021-03-07,5053898.0,4375336.0,705135.0,40701.0,168558.0
Africa,2021-03-08,5402174.0,4649256.0,779759.0,348276.0,187189.0
Africa,2021-03-09,5542597.0,4723917.0,850734.0,140423.0,184261.0
Africa,2021-03-10,5882799.0,4926631.0,1010055.0,340202.0,208376.0
Africa,2021-03-11,6071207.0,4997092.0,1137129.0,188408.0,214435.0
Africa,2021-03-12,6381226.0,5054231.0,1397210.0,310019.0,224714.0
Africa,2021-03-13,6784874.0,5211100.0,1644318.0,403648.0,253097.0
Africa,2021-03-14,6801397.0,5227623.0,1644318.0,16523.0,249643.0
Africa,2021-03-15,7194432.0,5324518.0,1942667.0,393035.0,256037.0
Africa,2021-03-16,7429911.0,5365673.0,2146524.0,235479.0,269616.0
Africa,2021-03-17,7631610.0,5412287.0,2312736.0,201699.0,249830.0
Africa,2021-03-18,7819050.0,5599476.0,2321849.0,187440.0,249692.0
Africa,2021-03-19,8101883.0,5671305.0,2563824.0,282833.0,245808.0
Africa,2021-03-20,8194242.0,5692632.0,2634856.0,92359.0,201338.0
Africa,2021-03-21,8215790.0,5714180.0,2634856.0,21548.0,202056.0
Africa,2021-03-22,8338031.0,5742779.0,2728498.0,122241.0,163371.0
Africa,2021-03-23,8484254.0,5816994.0,2820695.0,146223.0,150620.0
Africa,2021-03-24,9420365.0,6497947.0,3089404.0,936111.0,255536.0
Africa,2021-03-25,9707955.0,6557623.0,3329639.0,287590.0,269844.0
Africa,2021-03-26,9976483.0,6663052.0,3503611.0,268528.0,267800.0
Africa,2021-03-27,10302320.0,6886943.0,3606160.0,325837.0,301154.0
Africa,2021-03-28,10561169.0,7143129.0,3608823.0,258849.0,335054.0
Africa,2021-03-29,10774084.0,7229895.0,3743032.0,212915.0,348008.0
Africa,2021-03-30,10970869.0,7311247.0,3870507.0,196785.0,355231.0
Africa,2021-03-31,11474901.0,7668733.0,3995046.0,504032.0,293505.0
Africa,2021-04-01,11728478.0,7825046.0,4097534.0,253577.0,288646.0
