location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
Asia,2020-12-15,1500000.0,0.0,0.0,0.0,0.0
Asia,2020-12-16,0.0,0.0,0.0,0.0,15.0
Asia,2020-12-17,0.0,0.0,0.0,0.0,15.0
Asia,2020-12-18,0.0,0.0,0.0,0.0,15.0
Asia,2020-12-19,1500060.0,60.0,0.0,0.0,15.0
Asia,2020-12-20,1507419.0,7419.0,0.0,7359.0,1484.0
Asia,2020-12-21,1532302.0,32302.0,0.0,24883.0,5384.0
Asia,2020-12-22,1576920.0,76920.0,0.0,44618.0,10989.0
Asia,2020-12-23,1678725.0,178725.0,0.0,101805.0,25530.0
Asia,2020-12-24,1763155.0,263155.0,0.0,84430.0,37589.0
Asia,2020-12-25,1802075.0,302075.0,0.0,38920.0,43147.0
Asia,2020-12-26,1835662.0,335662.0,0.0,33587.0,47943.0
Asia,2020-12-27,1942086.0,442086.0,0.0,106424.0,62095.0
Asia,2020-12-28,2082507.0,580007.0,0.0,140421.0,78601.0
Asia,2020-12-29,2241118.0,738618.0,0.0,158611.0,94885.0
Asia,2020-12-30,2396788.0,894288.0,0.0,155670.0,102580.0
Asia,2020-12-31,5557751.0,1055251.0,0.0,3160963.0,542085.0
Asia,2021-01-01,5629689.0,1127189.0,0.0,71938.0,546802.0
Asia,2021-01-02,5702768.0,1200268.0,0.0,73079.0,552444.0
Asia,2021-01-03,5854349.0,1351849.0,0.0,151581.0,558895.0
Asia,2021-01-04,6009006.0,1506505.0,1.0,154657.0,560928.0
Asia,2021-01-05,6964460.0,1635658.0,1.0,955454.0,674763.0
Asia,2021-01-06,7211221.0,1744557.0,1.0,246761.0,687776.0
Asia,2021-01-07,7393106.0,1865043.0,4.0,181885.0,262194.0
Asia,2021-01-08,7519382.0,1937457.0,7.0,126276.0,269956.0
Asia,2021-01-09,12189036.0,1987820.0,29.0,4669654.0,926610.0
Asia,2021-01-10,12304751.0,2867910.0,256003.0,115715.0,921486.0
Asia,2021-01-11,12434812.0,2898053.0,275238.0,130061.0,917972.0
Asia,2021-01-12,12613097.0,2932300.0,310875.0,178285.0,806948.0
Asia,2021-01-13,13842851.0,2989898.0,367690.0,1229754.0,947376.0
