location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
Europe,2020-12-02,1.0,1.0,0.0,0.0,0.0
Europe,2020-12-03,1.0,1.0,0.0,0.0,0.0
Europe,2020-12-04,2.0,2.0,0.0,1.0,0.0
Europe,2020-12-05,2.0,2.0,0.0,0.0,0.0
Europe,2020-12-06,2.0,2.0,0.0,0.0,0.0
Europe,2020-12-07,4.0,4.0,0.0,2.0,1.0
Europe,2020-12-08,4.0,4.0,0.0,0.0,0.0
Europe,2020-12-09,5.0,5.0,0.0,1.0,1.0
Europe,2020-12-10,6.0,6.0,0.0,1.0,1.0
Europe,2020-12-11,7.0,7.0,0.0,1.0,1.0
Europe,2020-12-12,7.0,7.0,0.0,0.0,1.0
Europe,2020-12-13,7.0,7.0,0.0,0.0,1.0
Europe,2020-12-14,7.0,7.0,0.0,0.0,0.0
Europe,2020-12-15,28507.0,28507.0,0.0,28500.0,4072.0
Europe,2020-12-16,28507.0,28507.0,0.0,0.0,4072.0
Europe,2020-12-17,28508.0,28508.0,0.0,1.0,4072.0
Europe,2020-12-18,28508.0,28508.0,0.0,0.0,4072.0
Europe,2020-12-19,28509.0,28509.0,0.0,1.0,4072.0
Europe,2020-12-20,28509.0,28509.0,0.0,0.0,4072.0
Europe,2020-12-21,28510.0,28510.0,0.0,1.0,4072.0
Europe,2020-12-22,52011.0,52011.0,0.0,23501.0,3358.0
Europe,2020-12-23,52015.0,52015.0,0.0,4.0,3358.0
Europe,2020-12-24,52016.0,52016.0,0.0,1.0,3358.0
Europe,2020-12-25,52016.0,52016.0,0.0,0.0,3358.0
Europe,2020-12-26,52017.0,52017.0,0.0,1.0,3358.0
Europe,2020-12-27,108542.0,108528.0,14.0,56525.0,11433.0
Europe,2020-12-28,147835.0,146689.0,52.0,39293.0,17046.0
Europe,2020-12-29,241559.0,238325.0,783.0,93724.0,27078.0
Europe,2020-12-30,391960.0,387276.0,912.0,150401.0,48564.0
Europe,2020-12-31,501223.0,491502.0,1061.0,109263.0,64172.0
Europe,2021-01-01,535760.0,526032.0,1068.0,34537.0,69106.0
Europe,2021-01-02,1390208.0,1380196.0,1365.0,854448.0,191170.0
Europe,2021-01-03,2885361.0,2846452.0,23372.0,1495153.0,396688.0
Europe,2021-01-04,3162968.0,3116970.0,23424.0,277607.0,430733.0
Europe,2021-01-05,3482511.0,3428644.0,23466.0,319543.0,462993.0
Europe,2021-01-06,3750953.0,3686578.0,23491.0,268442.0,479856.0
Europe,2021-01-07,4155416.0,4065959.0,23503.0,404463.0,522028.0
Europe,2021-01-08,4535767.0,4443006.0,23844.0,380351.0,571430.0
Europe,2021-01-09,4731092.0,4638283.0,23901.0,195325.0,477269.0
Europe,2021-01-10,6257165.0,5741801.0,393319.0,1526073.0,481686.0
Europe,2021-01-11,6860893.0,6314068.0,414146.0,603728.0,528275.0
Europe,2021-01-12,7558604.0,6983883.0,430289.0,697711.0,582299.0
Europe,2021-01-13,8659091.0,8022442.0,440242.0,1100487.0,701163.0
Europe,2021-01-14,9531748.0,8870122.0,445690.0,872657.0,768047.0
Europe,2021-01-15,10409150.0,9725323.0,450674.0,877402.0,839055.0
Europe,2021-01-16,10930583.0,10236033.0,454310.0,521433.0,885642.0
Europe,2021-01-17,11411424.0,10668781.0,482462.0,480841.0,736323.0
Europe,2021-01-18,12111171.0,11433717.0,526643.0,699747.0,750040.0
Europe,2021-01-19,13024497.0,12263787.0,608665.0,913326.0,780842.0
Europe,2021-01-20,14047570.0,13142703.0,718701.0,1023073.0,769783.0
Europe,2021-01-21,15144601.0,14085977.0,852678.0,1097031.0,801836.0
Europe,2021-01-22,16202723.0,15029594.0,943515.0,1058122.0,827653.0
Europe,2021-01-23,17020060.0,15748212.0,1041885.0,817337.0,869925.0
Europe,2021-01-24,17940641.0,16356039.0,1137730.0,920581.0,932745.0
Europe,2021-01-25,18782847.0,17065056.0,1360022.0,842206.0,953097.0
Europe,2021-01-26,19803361.0,17783942.0,1631114.0,1020514.0,968409.0
Europe,2021-01-27,20833675.0,18656842.0,1889482.0,1030314.0,969444.0
Europe,2021-01-28,22020870.0,19478619.0,2213146.0,1187195.0,982324.0
Europe,2021-01-29,23172013.0,20284961.0,2505197.0,1151143.0,995613.0
Europe,2021-01-30,24157023.0,21082194.0,2747072.0,985010.0,1019566.0
Europe,2021-01-31,25139272.0,21769828.0,3039431.0,982249.0,1028376.0
Europe,2021-02-01,26033100.0,22320639.0,3376973.0,893828.0,1035750.0
Europe,2021-02-02,27179062.0,23035662.0,3789197.0,1145962.0,1053672.0
Europe,2021-02-03,28500644.0,23842910.0,4282827.0,1321582.0,1095281.0
Europe,2021-02-04,29889283.0,24689121.0,4805822.0,1388639.0,1124059.0
Europe,2021-02-05,31101519.0,25465346.0,5223344.0,1212236.0,1132787.0
Europe,2021-02-06,32006812.0,26157918.0,5433224.0,905293.0,1121398.0
Europe,2021-02-07,32917314.0,26772122.0,5727699.0,910502.0,1111149.0
Europe,2021-02-08,33754554.0,27308263.0,6010692.0,837240.0,1103065.0
Europe,2021-02-09,34911448.0,28050797.0,6401631.0,1156894.0,1104627.0
Europe,2021-02-10,36187534.0,28868628.0,6831776.0,1276086.0,1098127.0
Europe,2021-02-11,37743653.0,29880081.0,7349071.0,1556119.0,1122053.0
Europe,2021-02-12,39269404.0,30916404.0,7813395.0,1525751.0,1166841.0
Europe,2021-02-13,40192950.0,31634855.0,8011607.0,923546.0,1169448.0
Europe,2021-02-14,41270923.0,32798480.0,8470591.0,1077973.0,1193373.0
Europe,2021-02-15,42181318.0,33410898.0,8768604.0,910395.0,1203823.0
Europe,2021-02-16,43280908.0,34174912.0,9104191.0,1099590.0,1195637.0
Europe,2021-02-17,44719846.0,35191039.0,9527016.0,1438938.0,1218902.0
Europe,2021-02-18,46327991.0,36343754.0,9982448.0,1608145.0,1226334.0
Europe,2021-02-19,47600943.0,37261650.0,10336399.0,1272952.0,1190220.0
Europe,2021-02-20,48452412.0,37944733.0,10504799.0,851469.0,1179923.0
Europe,2021-02-21,49443881.0,38675521.0,10765482.0,991469.0,1167565.0
Europe,2021-02-22,50376923.0,39361467.0,11013708.0,933042.0,1170801.0
Europe,2021-02-23,51848205.0,40265160.0,11580544.0,1471282.0,1223900.0
Europe,2021-02-24,53588500.0,41594528.0,11991455.0,1740295.0,1266951.0
Europe,2021-02-25,55227106.0,42874471.0,12346743.0,1638606.0,1271302.0
Europe,2021-02-26,57015378.0,44241006.0,12768366.0,1788272.0,1344919.0
Europe,2021-02-27,58139121.0,45219608.0,12913518.0,1123743.0,1383816.0
Europe,2021-02-28,59434632.0,46244730.0,13183907.0,1295511.0,1427250.0
Europe,2021-03-01,60580454.0,47151321.0,13418970.0,1145822.0,1457647.0
Europe,2021-03-02,66177214.0,51359972.0,14805097.0,5596760.0,2047001.0
Europe,2021-03-03,68199256.0,52818268.0,15367357.0,2022042.0,2087251.0
Europe,2021-03-04,70872699.0,54866862.0,15994606.0,2673443.0,2235085.0
Europe,2021-03-05,72975483.0,56502649.0,16461612.0,2102784.0,2280015.0
Europe,2021-03-06,74807978.0,57963350.0,16833417.0,1832495.0,2381265.0
Europe,2021-03-07,76338225.0,59198160.0,17128854.0,1530247.0,2414799.0
Europe,2021-03-08,77750057.0,60304550.0,17434422.0,1411832.0,2452800.0
Europe,2021-03-09,79399783.0,61586734.0,17801973.0,1649726.0,1888938.0
Europe,2021-03-10,81514726.0,63006277.0,18491564.0,2114943.0,1902210.0
Europe,2021-03-11,83981306.0,64718668.0,19245752.0,2466580.0,1872658.0
Europe,2021-03-12,86081288.0,66310092.0,19755054.0,2099982.0,1872258.0
Europe,2021-03-13,87734143.0,67680381.0,20037630.0,1652855.0,1846595.0
Europe,2021-03-14,89153927.0,68783222.0,20354573.0,1419784.0,1830815.0
Europe,2021-03-15,90819696.0,70046641.0,20756924.0,1665769.0,1867091.0
Europe,2021-03-16,92437204.0,71240477.0,21180610.0,1617508.0,1862489.0
Europe,2021-03-17,94885018.0,72570617.0,22288550.0,2447814.0,1910042.0
Europe,2021-03-18,97053801.0,74048320.0,22979630.0,2168783.0,1867499.0
Europe,2021-03-19,99491097.0,75748903.0,23715419.0,2437296.0,1915687.0
Europe,2021-03-20,101438045.0,77309154.0,24102119.0,1946948.0,1957700.0
Europe,2021-03-21,102850939.0,78316874.0,24507293.0,1412894.0,1956716.0
Europe,2021-03-22,104691565.0,79554598.0,25095335.0,1840626.0,1981696.0
Europe,2021-03-23,106729283.0,81000655.0,25683537.0,2037718.0,2041726.0
Europe,2021-03-24,109206463.0,82634479.0,26524593.0,2477180.0,2045921.0
Europe,2021-03-25,111649812.0,84304213.0,27292856.0,2443349.0,2085144.0
Europe,2021-03-26,114762793.0,86430287.0,28276865.0,3112981.0,2181671.0
Europe,2021-03-27,116530909.0,87694286.0,28779155.0,1768116.0,2156123.0
Europe,2021-03-28,118314274.0,88968369.0,29274516.0,1783365.0,2209048.0
Europe,2021-03-29,123145730.0,91686535.0,31387805.0,4831456.0,2636309.0
Europe,2021-03-30,125790126.0,93391255.0,32286160.0,2644396.0,2722978.0
Europe,2021-03-31,128833051.0,95365142.0,33334231.0,3042925.0,2803798.0
Europe,2021-04-01,132042478.0,97346270.0,34545874.0,3209427.0,2913238.0
Europe,2021-04-02,134241658.0,98740138.0,35334535.0,2199180.0,2782695.0
Europe,2021-04-03,136077919.0,99967788.0,35930172.0,1836261.0,2792430.0
Europe,2021-04-04,137643024.0,101087502.0,36366660.0,1565105.0,2761250.0
Europe,2021-04-05,138885201.0,101997654.0,36687936.0,1242177.0,2248496.0
Europe,2021-04-06,141380640.0,103635771.0,37530424.0,2495439.0,2227216.0
Europe,2021-04-07,145365596.0,106175666.0,38964768.0,3984956.0,2361792.0
Europe,2021-04-08,149360306.0,109020307.0,40104685.0,3994710.0,2473975.0
Europe,2021-04-09,153240400.0,111742820.0,41254195.0,3880094.0,2714106.0
Europe,2021-04-10,156181869.0,113712473.0,42219908.0,2941469.0,2871993.0
Europe,2021-04-11,158158086.0,115129906.0,42776872.0,1976217.0,2930723.0
Europe,2021-04-12,160919336.0,117176057.0,43479289.0,2761250.0,3147734.0
Europe,2021-04-13,164167782.0,119482594.0,44407579.0,3248446.0,3255306.0
Europe,2021-04-14,167830087.0,122115175.0,45430420.0,3662305.0,3209213.0
Europe,2021-04-15,171921005.0,124991210.0,46628919.0,4090918.0,3222957.0
Europe,2021-04-16,175631651.0,127540958.0,47779684.0,3710646.0,3198750.0
Europe,2021-04-17,178220158.0,129170890.0,48728041.0,2588507.0,3148327.0
Europe,2021-04-18,181625520.0,131524703.0,49771525.0,3405362.0,3352491.0
Europe,2021-04-19,184795873.0,133847387.0,50610966.0,3170353.0,3410934.0
Europe,2021-04-20,187984642.0,136030151.0,51612909.0,3188769.0,3402409.0
Europe,2021-04-21,192047433.0,138739895.0,52943883.0,4062791.0,3459621.0
Europe,2021-04-22,196232213.0,141475455.0,54382479.0,4184780.0,3473030.0
Europe,2021-04-23,200378095.0,144179394.0,55819888.0,4145882.0,3535206.0
Europe,2021-04-24,203218580.0,145792351.0,57043300.0,2840485.0,3571203.0
Europe,2021-04-25,206562636.0,148283916.0,57939152.0,3344056.0,3562445.0
Europe,2021-04-26,209220989.0,150022963.0,58923322.0,2658353.0,3489302.0
Europe,2021-04-27,213288106.0,152666663.0,60398467.0,4067117.0,3614781.0
Europe,2021-04-28,218419141.0,155912574.0,62232136.0,5131035.0,3767387.0
Europe,2021-04-29,223492862.0,159110068.0,64133896.0,5073721.0,3894378.0
Europe,2021-04-30,227463797.0,161595605.0,65633214.0,3970935.0,3869386.0
Europe,2021-05-01,230109465.0,163278433.0,66604448.0,2645668.0,3841555.0
Europe,2021-05-02,233454598.0,165518329.0,67807335.0,3345133.0,3841709.0
Europe,2021-05-03,236053437.0,167215190.0,68730997.0,2598839.0,3833207.0
Europe,2021-05-04,239717323.0,169513954.0,70119149.0,3663886.0,3775602.0
Europe,2021-05-05,245616094.0,172970013.0,72739378.0,5898771.0,3885279.0
Europe,2021-05-06,251204948.0,176224165.0,75120854.0,5588854.0,3958869.0
Europe,2021-05-07,255877926.0,178975811.0,77086457.0,4672978.0,4059161.0
Europe,2021-05-08,259194247.0,180861774.0,78542451.0,3316321.0,4154969.0
Europe,2021-05-09,262926641.0,183334718.0,79867076.0,3732394.0,4210292.0
Europe,2021-05-10,266533623.0,185563259.0,81277326.0,3606982.0,4354312.0
Europe,2021-05-11,271131339.0,188863101.0,83231164.0,4597716.0,4487717.0
Europe,2021-05-12,276777205.0,192222319.0,85553219.0,5645866.0,4451587.0
Europe,2021-05-13,281509834.0,194950680.0,87621055.0,4732629.0,4329269.0
Europe,2021-05-14,286146050.0,197632709.0,89645670.0,4636216.0,4324018.0
Europe,2021-05-15,289952367.0,199928055.0,91210611.0,3806317.0,4394017.0
Europe,2021-05-16,293907846.0,202377863.0,92795810.0,3955479.0,4425886.0
Europe,2021-05-17,297427284.0,204491865.0,94280277.0,3519438.0,4413380.0
Europe,2021-05-18,302169132.0,207302290.0,96308748.0,4741848.0,4433970.0
Europe,2021-05-19,307175283.0,210081432.0,98609638.0,5006151.0,4342583.0
Europe,2021-05-20,312951363.0,213305463.0,101286926.0,5776080.0,4491647.0
Europe,2021-05-21,317911231.0,215993764.0,103662035.0,4959868.0,4537883.0
Europe,2021-05-22,322064520.0,217997587.0,105921304.0,4153289.0,4587450.0
Europe,2021-05-23,326117479.0,220304926.0,107707164.0,4052959.0,4601376.0
Europe,2021-05-24,329175808.0,222050905.0,109112477.0,3058329.0,4535503.0
Europe,2021-05-25,333819661.0,224543388.0,111388615.0,4643853.0,4521504.0
Europe,2021-05-26,339525293.0,227537494.0,114329180.0,5705632.0,4621430.0
Europe,2021-05-27,344688186.0,230108792.0,117163409.0,5162893.0,4533832.0
Europe,2021-05-28,349389870.0,232353318.0,119902938.0,4701684.0,4496948.0
Europe,2021-05-29,352611348.0,233966528.0,121673585.0,3221478.0,4363833.0
Europe,2021-05-30,355512221.0,235370178.0,123302428.0,2900873.0,4199249.0
Europe,2021-05-31,356720502.0,236078697.0,123918290.0,1208281.0,3934956.0
