location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
European Union,2020-12-17,1.0,1.0,0.0,0.0,0.0
European Union,2020-12-18,0.0,0.0,0.0,0.0,0.0
European Union,2020-12-19,2.0,2.0,0.0,0.0,0.0
European Union,2020-12-20,0.0,0.0,0.0,0.0,0.0
European Union,2020-12-21,3.0,3.0,0.0,0.0,0.0
European Union,2020-12-22,4.0,4.0,0.0,1.0,1.0
European Union,2020-12-23,8.0,8.0,0.0,4.0,1.0
European Union,2020-12-24,9.0,9.0,0.0,1.0,1.0
European Union,2020-12-25,0.0,0.0,0.0,0.0,1.0
European Union,2020-12-26,10.0,10.0,0.0,0.0,1.0
European Union,2020-12-27,56530.0,56516.0,14.0,56520.0,8075.0
European Union,2020-12-28,95218.0,94072.0,52.0,38688.0,13602.0
European Union,2020-12-29,187875.0,184641.0,783.0,92657.0,26839.0
European Union,2020-12-30,332972.0,328288.0,912.0,145097.0,47566.0
European Union,2020-12-31,442162.0,432441.0,1061.0,109190.0,63165.0
European Union,2021-01-01,476693.0,466965.0,1068.0,34531.0,68098.0
European Union,2021-01-02,583141.0,573129.0,1365.0,106448.0,83304.0
European Union,2021-01-03,675843.0,658936.0,1370.0,92702.0,88473.0
European Union,2021-01-04,953443.0,929447.0,1422.0,277600.0,122604.0
European Union,2021-01-05,1269599.0,1237734.0,1464.0,316156.0,154532.0
European Union,2021-01-06,1528967.0,1486594.0,1489.0,259368.0,170856.0
European Union,2021-01-07,1926871.0,1859416.0,1501.0,397904.0,212101.0
European Union,2021-01-08,2298607.0,2227848.0,1842.0,371736.0,260273.0
European Union,2021-01-09,2493795.0,2422988.0,1899.0,195188.0,272951.0
European Union,2021-01-10,2741498.0,2617533.0,1920.0,247703.0,295094.0
European Union,2021-01-11,3177991.0,3043333.0,1979.0,436493.0,317793.0
European Union,2021-01-12,3646520.0,3500032.0,2056.0,468529.0,339560.0
European Union,2021-01-13,4248423.0,4049752.0,2264.0,601903.0,388494.0
European Union,2021-01-14,4781738.0,4563347.0,2455.0,533315.0,407838.0
European Union,2021-01-15,5306444.0,5070060.0,3231.0,524706.0,429691.0
European Union,2021-01-16,5527600.0,5283113.0,4247.0,221156.0,433401.0
European Union,2021-01-17,5815695.0,5525359.0,30155.0,288095.0,439171.0
European Union,2021-01-18,6302075.0,6084193.0,69471.0,486380.0,446298.0
European Union,2021-01-19,6862366.0,6565810.0,146911.0,560291.0,459407.0
European Union,2021-01-20,7479855.0,7043728.0,252361.0,617489.0,461633.0
European Union,2021-01-21,8110833.0,7527436.0,383409.0,630978.0,475585.0
European Union,2021-01-22,8649618.0,7953634.0,472418.0,538785.0,477596.0
European Union,2021-01-23,8929006.0,8135346.0,569745.0,279388.0,485915.0
European Union,2021-01-24,9370988.0,8461723.0,664250.0,441982.0,507899.0
European Union,2021-01-25,9865261.0,8842220.0,879949.0,494273.0,509027.0
European Union,2021-01-26,10481362.0,9183854.0,1146630.0,616101.0,516999.0
European Union,2021-01-27,11107905.0,9690271.0,1394876.0,626543.0,518293.0
European Union,2021-01-28,11795987.0,10045539.0,1710126.0,688082.0,526451.0
European Union,2021-01-29,12392351.0,10324799.0,1997507.0,596364.0,534676.0
European Union,2021-01-30,12755414.0,10516870.0,2228559.0,363063.0,546630.0
European Union,2021-01-31,13412624.0,10885330.0,2517309.0,657210.0,577377.0
European Union,2021-02-01,13936035.0,11085043.0,2851030.0,523411.0,581539.0
European Union,2021-02-02,14615584.0,11359210.0,3256432.0,679549.0,590603.0
European Union,2021-02-03,15389416.0,11652567.0,3736931.0,773832.0,611644.0
European Union,2021-02-04,16224225.0,11978197.0,4246109.0,834809.0,632605.0
European Union,2021-02-05,16891052.0,12237452.0,4653707.0,666827.0,642672.0
European Union,2021-02-06,17238023.0,12378612.0,4859881.0,346971.0,640373.0
European Union,2021-02-07,17851532.0,12701386.0,5150616.0,613509.0,634130.0
European Union,2021-02-08,18311573.0,12883934.0,5428118.0,460041.0,625077.0
European Union,2021-02-09,19018110.0,13208538.0,5811066.0,706537.0,628932.0
European Union,2021-02-10,19680008.0,13502822.0,6178702.0,661898.0,612942.0
European Union,2021-02-11,20670103.0,13989968.0,6680634.0,990095.0,635125.0
European Union,2021-02-12,21410223.0,14354331.0,7056422.0,740120.0,645596.0
European Union,2021-02-13,21815301.0,14565668.0,7250179.0,405078.0,653897.0
European Union,2021-02-14,22493335.0,14949132.0,7544751.0,678034.0,663115.0
European Union,2021-02-15,23100778.0,15274880.0,7826482.0,607443.0,684172.0
European Union,2021-02-16,23789698.0,15655437.0,8134856.0,688920.0,681655.0
European Union,2021-02-17,24667822.0,16155015.0,8513416.0,878124.0,712545.0
European Union,2021-02-18,25723785.0,16801195.0,8923201.0,1055963.0,721955.0
European Union,2021-02-19,26566285.0,17325064.0,9241855.0,842500.0,736580.0
European Union,2021-02-20,27065166.0,17670386.0,9395428.0,498881.0,749981.0
European Union,2021-02-21,27900363.0,18256783.0,9644230.0,835197.0,772433.0
European Union,2021-02-22,28594279.0,18734003.0,9860928.0,693916.0,784786.0
European Union,2021-02-23,29360169.0,19272213.0,10088618.0,765890.0,795782.0
European Union,2021-02-24,30509199.0,20100378.0,10409467.0,1149030.0,834482.0
European Union,2021-02-25,31519096.0,20847296.0,10672478.0,1009897.0,827902.0
European Union,2021-02-26,32705925.0,21681264.0,11025361.0,1186829.0,877091.0
European Union,2021-02-27,33345975.0,22213425.0,11133261.0,640050.0,897258.0
European Union,2021-02-28,34427701.0,23047006.0,11381406.0,1081726.0,932477.0
European Union,2021-03-01,35271029.0,23707753.0,11563979.0,843328.0,953821.0
European Union,2021-03-02,36264958.0,24483113.0,11782559.0,993929.0,986398.0
European Union,2021-03-03,37588067.0,25463133.0,12125660.0,1323109.0,1011267.0
European Union,2021-03-04,39162732.0,26659088.0,12504370.0,1574665.0,1091948.0
European Union,2021-03-05,40381708.0,27602945.0,12779498.0,1218976.0,1096540.0
European Union,2021-03-06,41441998.0,28461581.0,12981163.0,1060290.0,1156575.0
European Union,2021-03-07,42709793.0,29482271.0,13228268.0,1267795.0,1183156.0
European Union,2021-03-08,43766129.0,30291910.0,13474955.0,1056336.0,1213586.0
European Union,2021-03-09,45002965.0,31265287.0,13738423.0,1236836.0,1248287.0
European Union,2021-03-10,46291611.0,32243800.0,14048567.0,1288646.0,1243363.0
European Union,2021-03-11,48067619.0,33540860.0,14527514.0,1776008.0,1272127.0
European Union,2021-03-12,49569984.0,34689145.0,14881604.0,1502365.0,1312611.0
European Union,2021-03-13,50585978.0,35515879.0,15070874.0,1015994.0,1306283.0
European Union,2021-03-14,51619627.0,36309864.0,15310538.0,1033649.0,1272833.0
European Union,2021-03-15,52775616.0,37137052.0,15639340.0,1155989.0,1287070.0
European Union,2021-03-16,53807346.0,37858498.0,15949638.0,1031730.0,1257769.0
European Union,2021-03-17,54998698.0,38627418.0,16372070.0,1191352.0,1243870.0
European Union,2021-03-18,56323549.0,39469039.0,16855300.0,1324851.0,1179419.0
European Union,2021-03-19,57638366.0,40384181.0,17254976.0,1314817.0,1152626.0
European Union,2021-03-20,58606701.0,41131461.0,17476034.0,968335.0,1145818.0
European Union,2021-03-21,59524500.0,41745140.0,17780154.0,917799.0,1129268.0
European Union,2021-03-22,60890233.0,42620643.0,18270384.0,1365733.0,1159231.0
European Union,2021-03-23,62318117.0,43657595.0,18661318.0,1427884.0,1215824.0
European Union,2021-03-24,64085317.0,44877974.0,19208141.0,1767200.0,1298088.0
European Union,2021-03-25,65841630.0,46116321.0,19726111.0,1756313.0,1359726.0
European Union,2021-03-26,68120030.0,47738453.0,20382381.0,2278400.0,1497381.0
European Union,2021-03-27,69193017.0,48555344.0,20638477.0,1072987.0,1512331.0
European Union,2021-03-28,70457467.0,49482759.0,20975516.0,1264450.0,1561852.0
European Union,2021-03-29,72063660.0,50682730.0,21381737.0,1606193.0,1596204.0
European Union,2021-03-30,73907793.0,52030978.0,21877622.0,1844133.0,1655668.0
European Union,2021-03-31,75966292.0,53538443.0,22427214.0,2058499.0,1697282.0
European Union,2021-04-01,78157549.0,55117273.0,23039602.0,2191257.0,1759417.0
European Union,2021-04-02,79775474.0,56274341.0,23500831.0,1617925.0,1665063.0
European Union,2021-04-03,81039372.0,57187220.0,23851886.0,1263898.0,1692336.0
European Union,2021-04-04,82341709.0,58161027.0,24182051.0,1302337.0,1697749.0
European Union,2021-04-05,83315753.0,58929797.0,24387329.0,974044.0,1607442.0
European Union,2021-04-06,85151215.0,60221919.0,24930715.0,1835462.0,1606203.0
European Union,2021-04-07,87837693.0,62340424.0,25498762.0,2686478.0,1695914.0
European Union,2021-04-08,90828877.0,64736881.0,26093500.0,2991184.0,1810190.0
European Union,2021-04-09,93545108.0,66883470.0,26663205.0,2716231.0,1967091.0
European Union,2021-04-10,95472679.0,68438853.0,27035424.0,1927571.0,2061901.0
European Union,2021-04-11,97036011.0,69655042.0,27382569.0,1563332.0,2099186.0
European Union,2021-04-12,99295280.0,71471658.0,27825234.0,2259269.0,2282790.0
European Union,2021-04-13,101719675.0,73383560.0,28337793.0,2424395.0,2366923.0
European Union,2021-04-14,104264779.0,75383550.0,28882909.0,2545104.0,2346727.0
European Union,2021-04-15,107402364.0,77847021.0,29557026.0,3137585.0,2367641.0
European Union,2021-04-16,110022520.0,79892714.0,30131490.0,2620156.0,2353916.0
European Union,2021-04-17,111692198.0,81168788.0,30525094.0,1669678.0,2317074.0
European Union,2021-04-18,114275235.0,83312768.0,30964151.0,2583037.0,2462746.0
European Union,2021-04-19,116903668.0,85405793.0,31499561.0,2628433.0,2515484.0
European Union,2021-04-20,119193664.0,87132102.0,32063252.0,2289996.0,2496284.0
European Union,2021-04-21,122221957.0,89377259.0,32846390.0,3028293.0,2565311.0
European Union,2021-04-22,125226893.0,91550878.0,33678006.0,3004936.0,2546361.0
European Union,2021-04-23,128104776.0,93654628.0,34455958.0,2877883.0,2583179.0
