location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
North America,2020-12-14,5.0,0.0,0.0,0.0,0.0
North America,2020-12-15,723.0,0.0,0.0,718.0,718.0
North America,2020-12-16,3023.0,0.0,0.0,2300.0,1509.0
North America,2020-12-17,7202.0,0.0,0.0,4179.0,2399.0
North America,2020-12-18,11174.0,0.0,0.0,3972.0,2792.0
North America,2020-12-19,11894.0,0.0,0.0,720.0,2378.0
North America,2020-12-20,568946.0,556208.0,0.0,557052.0,94824.0
North America,2020-12-21,634983.0,614117.0,0.0,66037.0,90711.0
North America,2020-12-22,640720.0,614117.0,0.0,5737.0,91428.0
North America,2020-12-23,1043114.0,1008025.0,0.0,402394.0,148584.0
North America,2020-12-24,1056402.0,1011004.0,0.0,13288.0,149886.0
North America,2020-12-25,1056402.0,1011004.0,0.0,0.0,149318.0
North America,2020-12-26,1995981.0,1947564.0,0.0,939579.0,283441.0
North America,2020-12-27,2003744.0,1951464.0,0.0,7763.0,204971.0
North America,2020-12-28,2196226.0,2136777.0,0.0,192482.0,223035.0
North America,2020-12-29,2216190.0,2145727.0,0.0,19964.0,225067.0
North America,2020-12-30,2903783.0,2819641.0,0.0,687593.0,265810.0
North America,2020-12-31,2917223.0,2819641.0,0.0,13440.0,265832.0
North America,2021-01-01,2923431.0,2819641.0,0.0,6208.0,266718.0
North America,2021-01-02,4359541.0,4250809.0,0.0,1436110.0,337651.0
North America,2021-01-03,4367243.0,4253209.0,0.0,7702.0,337643.0
North America,2021-01-04,4747410.0,4609675.0,0.0,380167.0,364455.0
North America,2021-01-05,5042357.0,4887160.0,0.0,294947.0,403738.0
North America,2021-01-06,5545797.0,5545367.0,430.0,503440.0,377431.0
North America,2021-01-07,6199721.0,6198634.0,1087.0,653924.0,468928.0
North America,2021-01-08,7026104.0,7024077.0,2027.0,826383.0,586096.0
North America,2021-01-09,7069017.0,7066077.0,2940.0,42913.0,387068.0
North America,2021-01-10,7098885.0,7095943.0,2942.0,29868.0,390235.0
North America,2021-01-11,9443182.0,9440240.0,2942.0,2344297.0,670825.0
North America,2021-01-12,9818261.0,9815238.0,3023.0,375079.0,682272.0
North America,2021-01-13,10899989.0,9936734.0,11931.0,1081728.0,764885.0
North America,2021-01-14,11948217.0,10475491.0,1356578.0,1048228.0,821214.0
North America,2021-01-15,13229101.0,11525780.0,1630531.0,1280884.0,886142.0
North America,2021-01-16,13312241.0,11607537.0,1631914.0,83140.0,891889.0
North America,2021-01-17,13348588.0,11641481.0,1634317.0,36347.0,892815.0
North America,2021-01-18,13417429.0,11706403.0,1638236.0,68841.0,567750.0
North America,2021-01-19,16890417.0,14744506.0,2057250.0,3472988.0,1010308.0
North America,2021-01-20,17754248.0,15450826.0,2210001.0,863831.0,979180.0
North America,2021-01-21,18871355.0,16316836.0,2456363.0,1117107.0,989020.0
North America,2021-01-22,20535508.0,17600936.0,2826659.0,1664153.0,1043772.0
North America,2021-01-23,21995911.0,18771858.0,3104273.0,1460403.0,1240524.0
North America,2021-01-24,23333473.0,19905191.0,3298594.0,1337562.0,1426412.0
North America,2021-01-25,24276954.0,20699201.0,3442179.0,943481.0,1551361.0
North America,2021-01-26,25120324.0,21375021.0,3588467.0,843370.0,1175701.0
North America,2021-01-27,26262192.0,22181597.0,3916984.0,1141868.0,1215421.0
