location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
Oceania,2021-02-02,3251.0,3251.0,0.0,0.0,0.0
Oceania,2021-02-03,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-04,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-05,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-06,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-07,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-08,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-09,0.0,0.0,0.0,0.0,254.0
Oceania,2021-02-10,5283.0,4868.0,415.0,0.0,254.0
Oceania,2021-02-11,0.0,0.0,0.0,0.0,218.0
Oceania,2021-02-12,0.0,0.0,0.0,0.0,181.0
Oceania,2021-02-13,0.0,0.0,0.0,0.0,145.0
Oceania,2021-02-14,0.0,0.0,0.0,0.0,109.0
Oceania,2021-02-15,5283.0,4868.0,415.0,0.0,73.0
Oceania,2021-02-16,8431.0,7082.0,1349.0,3148.0,486.0
Oceania,2021-02-17,8881.0,7343.0,1538.0,450.0,514.0
Oceania,2021-02-18,8881.0,7343.0,1538.0,0.0,514.0
Oceania,2021-02-19,8910.0,7372.0,1538.0,29.0,518.0
Oceania,2021-02-20,8975.0,7437.0,1538.0,65.0,527.0
Oceania,2021-02-21,9043.0,7505.0,1538.0,68.0,537.0
Oceania,2021-02-22,9511.0,7973.0,1538.0,468.0,604.0
Oceania,2021-02-23,16350.0,13210.0,3140.0,6839.0,1131.0
Oceania,2021-02-24,21194.0,18054.0,3140.0,4844.0,1759.0
Oceania,2021-02-25,32885.0,29745.0,3140.0,11691.0,3429.0
Oceania,2021-02-26,41995.0,38855.0,3140.0,9110.0,4726.0
Oceania,2021-02-27,48337.0,45197.0,3140.0,6342.0,5623.0
Oceania,2021-02-28,51115.0,47975.0,3140.0,2778.0,6010.0
Oceania,2021-03-01,55982.0,51861.0,4121.0,4867.0,6639.0
Oceania,2021-03-02,66083.0,61734.0,4349.0,10101.0,7105.0
Oceania,2021-03-03,76999.0,72650.0,4349.0,10916.0,7972.0
Oceania,2021-03-04,88799.0,84450.0,4349.0,11800.0,7988.0
Oceania,2021-03-05,100936.0,96587.0,4349.0,12137.0,8420.0
Oceania,2021-03-06,106612.0,102262.0,4350.0,5676.0,8325.0
Oceania,2021-03-07,111530.0,107180.0,4350.0,4918.0,8631.0
Oceania,2021-03-08,117626.0,113276.0,4350.0,6096.0,8806.0
