location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
South America,2020-12-24,420.0,420.0,0.0,0.0,0.0
South America,2020-12-25,5198.0,5198.0,0.0,4778.0,4778.0
South America,2020-12-26,8338.0,8338.0,0.0,3140.0,3959.0
South America,2020-12-27,8649.0,8649.0,0.0,311.0,2743.0
South America,2020-12-28,8649.0,8649.0,0.0,0.0,2057.0
South America,2020-12-29,9349.0,8649.0,0.0,700.0,1786.0
South America,2020-12-30,9349.0,8649.0,0.0,0.0,1488.0
South America,2020-12-31,40662.0,8649.0,0.0,31313.0,5749.0
South America,2021-01-01,40662.0,8649.0,0.0,0.0,5066.0
South America,2021-01-02,40662.0,8649.0,0.0,0.0,4618.0
South America,2021-01-03,40662.0,8649.0,0.0,0.0,4573.0
South America,2021-01-04,48653.0,9054.0,0.0,7991.0,5715.0
South America,2021-01-05,50096.0,10497.0,0.0,1443.0,5821.0
South America,2021-01-06,50301.0,10702.0,0.0,205.0,5850.0
South America,2021-01-07,50301.0,10702.0,0.0,0.0,1377.0
South America,2021-01-08,118244.0,10702.0,0.0,67943.0,11083.0
South America,2021-01-09,118244.0,10702.0,0.0,0.0,11083.0
South America,2021-01-10,118244.0,10702.0,0.0,0.0,11083.0
South America,2021-01-11,118244.0,10702.0,0.0,0.0,9942.0
South America,2021-01-12,118244.0,10702.0,0.0,0.0,9735.0
South America,2021-01-13,178565.0,10703.0,1029.0,60321.0,18323.0
South America,2021-01-14,185479.0,12821.0,5825.0,6914.0,19311.0
South America,2021-01-15,222836.0,13778.0,8299.0,37357.0,14942.0
South America,2021-01-16,222926.0,13801.0,8366.0,90.0,14955.0
South America,2021-01-17,223038.0,13913.0,8366.0,112.0,14971.0
South America,2021-01-18,235071.0,25946.0,8366.0,12033.0,16690.0
South America,2021-01-19,264788.0,55662.0,8367.0,29717.0,20935.0
South America,2021-01-20,338338.0,325577.0,12761.0,73550.0,22825.0
South America,2021-01-21,467165.0,442446.0,24719.0,128827.0,40241.0
South America,2021-01-22,590921.0,557408.0,33513.0,123756.0,52584.0
South America,2021-01-23,891280.0,853725.0,37555.0,300359.0,95479.0
South America,2021-01-24,962187.0,921833.0,40354.0,70907.0,105593.0
South America,2021-01-25,1059856.0,1017822.0,42034.0,97669.0,117826.0
South America,2021-01-26,1222241.0,1172965.0,49276.0,162385.0,136779.0
South America,2021-01-27,1518305.0,1462196.0,56109.0,296064.0,168567.0
South America,2021-01-28,1849286.0,1787436.0,61850.0,330981.0,197446.0
South America,2021-01-29,2082470.0,1995290.0,75987.0,233184.0,213078.0
South America,2021-01-30,2440027.0,2264825.0,95765.0,357557.0,221250.0
South America,2021-01-31,2510903.0,2387535.0,95765.0,70876.0,221245.0
South America,2021-02-01,2571121.0,2449190.0,104678.0,60218.0,215895.0
South America,2021-02-02,2753576.0,2647299.0,104684.0,182455.0,218762.0
South America,2021-02-03,3175767.0,3049431.0,122776.0,422191.0,236780.0
South America,2021-02-04,3953950.0,3791571.0,158819.0,778183.0,300666.0
South America,2021-02-05,4125124.0,3962075.0,159489.0,171174.0,291808.0
South America,2021-02-06,4506819.0,4324222.0,179037.0,381695.0,295256.0
South America,2021-02-07,4697522.0,4479254.0,214708.0,190703.0,312374.0
South America,2021-02-08,4993040.0,4749565.0,239915.0,295518.0,345988.0
South America,2021-02-09,5474986.0,5203270.0,268156.0,481946.0,388773.0
South America,2021-02-10,6094674.0,5790255.0,300859.0,619688.0,416987.0
South America,2021-02-11,6713693.0,6356930.0,346596.0,619019.0,394249.0
South America,2021-02-12,7283434.0,6884025.0,389242.0,569741.0,451187.0
South America,2021-02-13,7775473.0,7296421.0,468885.0,492039.0,466951.0
South America,2021-02-14,7900212.0,7402531.0,487514.0,124739.0,457527.0
South America,2021-02-15,8236982.0,7715535.0,511280.0,336770.0,463420.0
South America,2021-02-16,8781763.0,8192248.0,579348.0,544781.0,472397.0
South America,2021-02-17,9250450.0,8386639.0,853626.0,468687.0,450825.0
South America,2021-02-18,9769339.0,8724524.0,1024713.0,518889.0,436521.0
South America,2021-02-19,10314413.0,9076796.0,1206143.0,545074.0,432997.0
South America,2021-02-20,10678300.0,9258878.0,1376115.0,363887.0,414690.0
South America,2021-02-21,10841422.0,9337422.0,1454006.0,163122.0,420173.0
South America,2021-02-22,11064982.0,9517166.0,1492483.0,223560.0,404000.0
South America,2021-02-23,11482453.0,9807187.0,1616949.0,417471.0,385813.0
South America,2021-02-24,11898647.0,10075547.0,1762409.0,416194.0,378314.0
South America,2021-02-25,12312998.0,10308830.0,1927844.0,414351.0,363380.0
South America,2021-02-26,12799272.0,10609458.0,2098314.0,486274.0,354980.0
South America,2021-02-27,13150428.0,10791568.0,2234651.0,351156.0,353161.0
South America,2021-02-28,13319966.0,10910829.0,2268392.0,169538.0,354078.0
South America,2021-03-01,13576970.0,11137568.0,2280102.0,257004.0,358855.0
South America,2021-03-02,14254414.0,11660801.0,2423994.0,677444.0,395994.0
South America,2021-03-03,15119879.0,12205902.0,2722497.0,865465.0,460176.0
South America,2021-03-04,16048795.0,12763012.0,3079308.0,928916.0,533685.0
South America,2021-03-05,16971687.0,13297081.0,3434755.0,922892.0,596059.0
South America,2021-03-06,17140801.0,13395750.0,3474640.0,169114.0,570053.0
South America,2021-03-07,17349208.0,13550046.0,3499762.0,208407.0,575606.0
South America,2021-03-08,17804077.0,13761535.0,3726463.0,454869.0,603872.0
South America,2021-03-09,18425979.0,14048495.0,3974389.0,621902.0,595938.0
South America,2021-03-10,19274598.0,14504402.0,4289946.0,848619.0,593531.0
South America,2021-03-11,20387710.0,15114630.0,4683872.0,1113112.0,619845.0
South America,2021-03-12,21537707.0,15755649.0,5088568.0,1149997.0,652289.0
South America,2021-03-13,22149530.0,16859677.0,5289853.0,611823.0,715533.0
South America,2021-03-14,22369683.0,17025295.0,5344388.0,220153.0,717211.0
South America,2021-03-15,23428543.0,17660804.0,5767739.0,1058860.0,803495.0
South America,2021-03-16,24094964.0,18032283.0,6062681.0,666421.0,809855.0
South America,2021-03-17,25482122.0,18898145.0,6583977.0,1387158.0,886789.0
South America,2021-03-18,26420971.0,19542126.0,6878845.0,938849.0,861894.0
South America,2021-03-19,27333065.0,20175495.0,7157570.0,912094.0,827908.0
South America,2021-03-20,27727032.0,20500568.0,7226464.0,393967.0,796786.0
South America,2021-03-21,27943737.0,20665734.0,7278003.0,216705.0,796293.0
South America,2021-03-22,28879179.0,21343780.0,7535399.0,935442.0,778662.0
South America,2021-03-23,30456214.0,22647298.0,7808916.0,1577035.0,908750.0
South America,2021-03-24,31675460.0,23610091.0,8065369.0,1219246.0,884763.0
South America,2021-03-25,32714880.0,24409154.0,8305726.0,1039420.0,899130.0
South America,2021-03-26,33770272.0,25267129.0,8503143.0,1055392.0,919601.0
South America,2021-03-27,34538958.0,25933881.0,8605047.0,768686.0,973132.0
South America,2021-03-28,34879901.0,26235991.0,8643910.0,340943.0,990881.0
South America,2021-03-29,35785295.0,26905346.0,8879949.0,905394.0,986588.0
South America,2021-03-30,36553762.0,27431161.0,9122601.0,768467.0,871078.0
South America,2021-03-31,38139210.0,28667294.0,9471916.0,1585448.0,923393.0
South America,2021-04-01,38738854.0,29012239.0,9726615.0,599644.0,860568.0
South America,2021-04-02,40498773.0,30424107.0,10074666.0,1759919.0,961214.0
South America,2021-04-03,40957462.0,30800503.0,10156959.0,458689.0,916929.0
South America,2021-04-04,41174846.0,30975718.0,10199128.0,217384.0,899278.0
South America,2021-04-05,42552691.0,31831925.0,10720766.0,1377845.0,966771.0
South America,2021-04-06,43937312.0,32785583.0,11151729.0,1384621.0,1054793.0
South America,2021-04-07,45998559.0,34253520.0,11745039.0,2061247.0,1122764.0
South America,2021-04-08,47465870.0,35142937.0,12322933.0,1467311.0,1246717.0
South America,2021-04-09,48855453.0,35972361.0,12883092.0,1389583.0,1193811.0
South America,2021-04-10,50081416.0,36901491.0,13179925.0,1225963.0,1303422.0
South America,2021-04-11,50412518.0,37174120.0,13238398.0,331102.0,1319667.0
South America,2021-04-12,51790328.0,37995473.0,13794855.0,1377810.0,1319662.0
South America,2021-04-13,55854960.0,40919293.0,14935667.0,4064632.0,1702521.0
South America,2021-04-14,57497193.0,41980289.0,15516904.0,1642233.0,1642662.0
South America,2021-04-15,58013281.0,42275875.0,15737406.0,516088.0,1506773.0
South America,2021-04-16,58657051.0,42652704.0,16004347.0,643770.0,1400228.0
South America,2021-04-17,59046231.0,42945668.0,16100563.0,389180.0,1280688.0
South America,2021-04-18,60472121.0,43249358.0,17222763.0,1425890.0,1437086.0
South America,2021-04-19,61708704.0,43877652.0,17831052.0,1236583.0,1416911.0
South America,2021-04-20,62258904.0,44158118.0,18100786.0,550200.0,914849.0
South America,2021-04-21,63081020.0,44576826.0,18504194.0,822116.0,797690.0
South America,2021-04-22,64601431.0,45304971.0,19296460.0,1520411.0,941164.0
South America,2021-04-23,67263856.0,46695152.0,20568704.0,2662425.0,1229544.0
South America,2021-04-24,68274274.0,47296282.0,20977992.0,1010418.0,1318292.0
South America,2021-04-25,68771284.0,47655823.0,21115461.0,497010.0,1185595.0
South America,2021-04-26,70135315.0,48321488.0,21813827.0,1364031.0,1203802.0
South America,2021-04-27,71998963.0,49310353.0,22688610.0,1863648.0,1391437.0
South America,2021-04-28,73450515.0,50094610.0,23355905.0,1451552.0,1481356.0
South America,2021-04-29,75029704.0,50912816.0,24116888.0,1579189.0,1489753.0
South America,2021-04-30,76355353.0,51688882.0,24666471.0,1325649.0,1298785.0
South America,2021-05-01,77128414.0,52180434.0,24947980.0,773061.0,1264877.0
South America,2021-05-02,77479489.0,52406761.0,25072728.0,351075.0,1244029.0
South America,2021-05-03,78594914.0,53054056.0,25540858.0,1115425.0,1208514.0
South America,2021-05-04,80404756.0,54161305.0,26243451.0,1809842.0,1200828.0
South America,2021-05-05,81821799.0,55060513.0,26761286.0,1417043.0,1195898.0
South America,2021-05-06,82704365.0,55649692.0,27054673.0,882566.0,1096380.0
South America,2021-05-07,84423041.0,56611325.0,27811716.0,1718676.0,1152527.0
South America,2021-05-08,84724113.0,56801785.0,27922328.0,301072.0,1085100.0
South America,2021-05-09,84909893.0,56906509.0,28003384.0,185780.0,1061486.0
South America,2021-05-10,86118495.0,57663950.0,28454545.0,1208602.0,1074797.0
South America,2021-05-11,87617003.0,58600900.0,29016103.0,1498508.0,1030321.0
South America,2021-05-12,89256325.0,59651094.0,29605231.0,1639322.0,1062075.0
South America,2021-05-13,91104401.0,60814969.0,30289432.0,1848076.0,1200005.0
South America,2021-05-14,93446197.0,62433495.0,31012702.0,2341796.0,1289022.0
South America,2021-05-15,94659885.0,63150732.0,31509153.0,1213688.0,1419396.0
South America,2021-05-16,95040001.0,63367833.0,31672168.0,380116.0,1447158.0
South America,2021-05-17,96377399.0,64254132.0,32123267.0,1337398.0,1465558.0
South America,2021-05-18,97883864.0,65272155.0,32611709.0,1506465.0,1466694.0
South America,2021-05-19,99403057.0,66368485.0,33034572.0,1519193.0,1449533.0
