location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
World,2020-12-02,1.0,1.0,0.0,0.0,0.0
World,2020-12-03,1.0,1.0,0.0,0.0,0.0
World,2020-12-04,2.0,2.0,0.0,1.0,0.0
World,2020-12-05,2.0,2.0,0.0,0.0,0.0
World,2020-12-06,2.0,2.0,0.0,0.0,0.0
World,2020-12-07,4.0,4.0,0.0,2.0,1.0
World,2020-12-08,4.0,4.0,0.0,0.0,0.0
World,2020-12-09,5.0,5.0,0.0,1.0,1.0
World,2020-12-10,6.0,6.0,0.0,1.0,1.0
World,2020-12-11,7.0,7.0,0.0,1.0,1.0
World,2020-12-12,7.0,7.0,0.0,0.0,1.0
World,2020-12-13,7.0,7.0,0.0,0.0,1.0
World,2020-12-14,12.0,7.0,0.0,5.0,1.0
World,2020-12-15,1529230.0,28507.0,0.0,1529218.0,218461.0
World,2020-12-16,1531530.0,28507.0,0.0,2300.0,218789.0
World,2020-12-17,1535710.0,28508.0,0.0,4180.0,219386.0
World,2020-12-18,1539682.0,28508.0,0.0,3972.0,219954.0
World,2020-12-19,1540463.0,28569.0,0.0,781.0,220065.0
World,2020-12-20,2104874.0,592136.0,0.0,564411.0,300695.0
World,2020-12-21,2195795.0,674929.0,0.0,90921.0,313683.0
World,2020-12-22,2269651.0,743048.0,0.0,73856.0,105774.0
World,2020-12-23,2773854.0,1238765.0,0.0,504203.0,177475.0
World,2020-12-24,2871993.0,1326595.0,0.0,98139.0,190898.0
World,2020-12-25,2915691.0,1370293.0,0.0,43698.0,196573.0
World,2020-12-26,3891998.0,2343581.0,0.0,976307.0,335934.0
World,2020-12-27,4063021.0,2510727.0,14.0,171023.0,279735.0
World,2020-12-28,4435217.0,2872122.0,52.0,372196.0,319917.0
World,2020-12-29,4708216.0,3131319.0,783.0,272999.0,348366.0
World,2020-12-30,5701880.0,4109854.0,912.0,993664.0,418289.0
World,2020-12-31,9016859.0,4375043.0,1061.0,3314979.0,877838.0
World,2021-01-01,9129542.0,4481511.0,1068.0,112683.0,887693.0
World,2021-01-02,11493179.0,6839922.0,1365.0,2363637.0,1085883.0
World,2021-01-03,13147615.0,8460159.0,23372.0,1654436.0,1297799.0
World,2021-01-04,13968037.0,9242204.0,23425.0,820422.0,1361831.0
World,2021-01-05,15539424.0,9961959.0,23467.0,1571387.0,1547315.0
World,2021-01-06,16558272.0,10987204.0,23922.0,1018848.0,1550913.0
World,2021-01-07,17798544.0,12140338.0,24594.0,1240272.0,1254526.0
World,2021-01-08,19199497.0,13415242.0,25878.0,1400953.0,1438565.0
World,2021-01-09,24107389.0,13702882.0,26870.0,4907892.0,1802030.0
World,2021-01-10,25779045.0,15716356.0,652264.0,1671656.0,1804490.0
World,2021-01-11,28857131.0,18663063.0,692326.0,3078086.0,2127013.0
World,2021-01-12,30108206.0,19742123.0,744187.0,1251075.0,2081255.0
World,2021-01-13,33582496.0,20961777.0,820892.0,3474290.0,2432032.0
World,2021-01-14,36049503.0,22416291.0,2244530.0,2467007.0,2607280.0
World,2021-01-15,38788994.0,24368604.0,2561822.0,2739491.0,2798500.0
World,2021-01-16,39953130.0,25199548.0,2592885.0,1164136.0,2263677.0
