continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Africa,2021-04-30 00:00:00,SEN,Senegal,4,419.0,2244.0,0.0,411343.0,411343.0
Asia,2021-04-30 00:00:00,OWID_CYN,Northern Cyprus,4,0.0,823.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,RWA,Rwanda,4,0.0,12.0,0.0,349871.0,349871.0
Africa,2021-04-30 00:00:00,SDN,Sudan,4,0.0,5892.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,USA,United States,4,2799184.0,2548207.0,101407318.0,144894586.0,240159677.0
Europe,2021-04-30 00:00:00,BLR,Belarus,4,0.0,8679.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,SLV,El Salvador,4,40656.0,31022.0,75855.0,839870.0,915725.0
Africa,2021-04-30 00:00:00,DJI,Djibouti,4,0.0,202.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,HKG,Hong Kong,4,36269.0,27271.0,497457.0,916331.0,1413788.0
Europe,2021-04-30 00:00:00,AUT,Austria,4,80158.0,51407.0,856559.0,2319823.0,3176294.0
Asia,2021-04-30 00:00:00,ISR,Israel,4,4726.0,9224.0,5049431.0,5399997.0,10449428.0
Europe,2021-04-30 00:00:00,EST,Estonia,4,11865.0,7630.0,122352.0,336967.0,459319.0
Asia,2021-04-30 00:00:00,MYS,Malaysia,4,0.0,21195.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,VNM,Vietnam,4,12827.0,49032.0,9407.0,509855.0,519262.0
North America,2021-04-30 00:00:00,HND,Honduras,4,0.0,1572.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,LAO,Laos,4,0.0,14728.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,GAB,Gabon,4,0.0,254.0,2643.0,8035.0,10678.0
Asia,2021-04-30 00:00:00,AFG,Afghanistan,4,0.0,13921.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,SWZ,Eswatini,4,0.0,208.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,SYC,Seychelles,4,0.0,842.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,NPL,Nepal,4,0.0,26101.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,JEY,Jersey,4,0.0,805.0,0.0,0.0,0.0
South America,2021-04-30 00:00:00,VEN,Venezuela,4,0.0,1784.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,SGP,Singapore,4,0.0,41975.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,UKR,Ukraine,4,49985.0,32881.0,260.0,752293.0,752553.0
Europe,2021-04-30 00:00:00,MDA,Moldova,4,2198.0,3866.0,17097.0,130218.0,147315.0
Africa,2021-04-30 00:00:00,ZMB,Zambia,4,5454.0,2714.0,0.0,32034.0,32034.0
Asia,2021-04-30 00:00:00,TLS,Timor,4,0.0,1472.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,TCA,Turks and Caicos Islands,4,0.0,163.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,COM,Comoros,4,0.0,1442.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,POL,Poland,4,0.0,229174.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,MCO,Monaco,4,0.0,104.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,LIE,Liechtenstein,4,510.0,220.0,4183.0,8815.0,12998.0
Oceania,2021-04-30 00:00:00,PNG,Papua New Guinea,4,0.0,126.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,DOM,Dominican Republic,4,34518.0,37916.0,795791.0,1174227.0,1970018.0
Africa,2021-04-30 00:00:00,SLE,Sierra Leone,4,0.0,812.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,GIB,Gibraltar,4,780.0,421.0,33611.0,37504.0,71114.0
Europe,2021-04-30 00:00:00,FIN,Finland,4,0.0,28233.0,166233.0,1664774.0,1831007.0
Asia,2021-04-30 00:00:00,PAK,Pakistan,4,0.0,79422.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,CRI,Costa Rica,4,0.0,18105.0,0.0,0.0,0.0
