continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Oceania,2021-04-01,NCL,New Caledonia,4,0.0,931.0,0.0,0.0,0.0
Africa,2021-04-01,BWA,Botswana,4,0.0,1618.0,0.0,0.0,0.0
North America,2021-04-01,GTM,Guatemala,4,2273.0,3106.0,1192.0,109246.0,110438.0
Europe,2021-04-01,NLD,Netherlands,4,0.0,55163.0,0.0,0.0,0.0
Europe,2021-04-01,MKD,North Macedonia,4,0.0,186.0,0.0,0.0,0.0
Africa,2021-04-01,SWZ,Eswatini,4,0.0,3377.0,0.0,0.0,0.0
Europe,2021-04-01,HRV,Croatia,4,21918.0,12599.0,92380.0,404518.0,498417.0
North America,2021-04-01,USA,United States,4,3358112.0,2903730.0,56089614.0,99565311.0,153631404.0
Africa,2021-04-01,NER,Niger,4,0.0,68.0,0.0,0.0,0.0
South America,2021-04-01,URY,Uruguay,4,49749.0,36311.0,59043.0,663677.0,722720.0
Europe,2021-04-01,AUT,Austria,4,41877.0,35940.0,479333.0,1267142.0,1746454.0
Europe,2021-04-01,AND,Andorra,4,0.0,197.0,0.0,0.0,0.0
Asia,2021-04-01,JOR,Jordan,4,0.0,14722.0,0.0,0.0,0.0
Asia,2021-04-01,CHN,China,4,6795000.0,5038571.0,0.0,0.0,126616000.0
South America,2021-04-01,CHL,Chile,4,302666.0,194289.0,3849470.0,6930430.0,10779900.0
Africa,2021-04-01,ZAF,South Africa,4,5224.0,6996.0,269102.0,269102.0,269102.0
North America,2021-04-01,LCA,Saint Lucia,4,197.0,211.0,0.0,0.0,22554.0
Europe,2021-04-01,IMN,Isle of Man,4,1176.0,1059.0,15312.0,36290.0,51602.0
Asia,2021-04-01,IRN,Iran,4,0.0,12654.0,0.0,0.0,0.0
South America,2021-04-01,BOL,Bolivia,4,13930.0,11420.0,115012.0,203103.0,318115.0
Europe,2021-04-01,SVK,Slovakia,4,22074.0,18608.0,265391.0,752560.0,1017951.0
