continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2020-12-02,NOR,Norway,12,0.0,0.0,0.0,1.0,1.0
Europe,2020-12-03,NOR,Norway,12,0.0,0.0,0.0,1.0,1.0
Europe,2020-12-04,NOR,Norway,12,1.0,0.0,0.0,2.0,2.0
Europe,2020-12-05,NOR,Norway,12,0.0,0.0,0.0,2.0,2.0
Europe,2020-12-06,NOR,Norway,12,0.0,0.0,0.0,2.0,2.0
Europe,2020-12-07,NOR,Norway,12,2.0,1.0,0.0,4.0,4.0
Europe,2020-12-08,NOR,Norway,12,0.0,0.0,0.0,4.0,4.0
Europe,2020-12-09,NOR,Norway,12,1.0,1.0,0.0,5.0,5.0
Europe,2020-12-10,NOR,Norway,12,1.0,1.0,0.0,6.0,6.0
Europe,2020-12-11,NOR,Norway,12,1.0,1.0,0.0,7.0,7.0
Europe,2020-12-12,NOR,Norway,12,0.0,1.0,0.0,7.0,7.0
Europe,2020-12-13,NOR,Norway,12,0.0,1.0,0.0,7.0,7.0
North America,2020-12-14,CAN,Canada,12,0.0,0.0,0.0,0.0,5.0
Europe,2020-12-14,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-15,RUS,Russia,12,0.0,0.0,0.0,28500.0,28500.0
North America,2020-12-15,CAN,Canada,12,718.0,718.0,0.0,0.0,723.0
Europe,2020-12-15,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Asia,2020-12-15,CHN,China,12,0.0,0.0,0.0,0.0,1500000.0
North America,2020-12-16,CAN,Canada,12,2300.0,1509.0,0.0,0.0,3023.0
Asia,2020-12-16,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Europe,2020-12-16,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
Europe,2020-12-16,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-17,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
North America,2020-12-17,CAN,Canada,12,4179.0,2399.0,0.0,0.0,7202.0
Europe,2020-12-17,DNK,Denmark,12,0.0,0.0,0.0,1.0,1.0
Europe,2020-12-17,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Asia,2020-12-17,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Europe,2020-12-18,DNK,Denmark,12,0.0,0.0,0.0,0.0,0.0
North America,2020-12-18,CAN,Canada,12,3972.0,2792.0,0.0,0.0,11174.0
Europe,2020-12-18,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-18,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
Asia,2020-12-18,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Asia,2020-12-19,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Europe,2020-12-19,DNK,Denmark,12,0.0,0.0,0.0,2.0,2.0
Europe,2020-12-19,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-19,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
North America,2020-12-19,CAN,Canada,12,720.0,2378.0,0.0,0.0,11894.0
Asia,2020-12-19,ISR,Israel,12,0.0,0.0,0.0,60.0,60.0
Europe,2020-12-20,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-20,DNK,Denmark,12,0.0,0.0,0.0,0.0,0.0
Asia,2020-12-20,ISR,Israel,12,7359.0,7359.0,0.0,7419.0,7419.0
Europe,2020-12-20,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
Asia,2020-12-20,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
North America,2020-12-20,CAN,Canada,12,844.0,2122.0,0.0,0.0,12738.0
North America,2020-12-20,USA,United States,12,0.0,0.0,0.0,556208.0,556208.0
Asia,2020-12-21,ISR,Israel,12,24883.0,16121.0,0.0,32302.0,32302.0
Europe,2020-12-21,RUS,Russia,12,0.0,3357.0,0.0,0.0,0.0
Europe,2020-12-21,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
North America,2020-12-21,CAN,Canada,12,8128.0,2980.0,0.0,0.0,20866.0
Asia,2020-12-21,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Europe,2020-12-21,DNK,Denmark,12,0.0,0.0,0.0,3.0,3.0
North America,2020-12-21,USA,United States,12,57909.0,57909.0,0.0,614117.0,614117.0
North America,2020-12-22,USA,United States,12,0.0,127432.0,0.0,0.0,0.0
Europe,2020-12-22,DNK,Denmark,12,1.0,1.0,0.0,4.0,4.0
Asia,2020-12-22,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
Asia,2020-12-22,ISR,Israel,12,44618.0,25620.0,0.0,76920.0,76920.0
North America,2020-12-22,CAN,Canada,12,5737.0,3697.0,0.0,0.0,26603.0
Europe,2020-12-22,RUS,Russia,12,0.0,3357.0,0.0,52000.0,52000.0
Europe,2020-12-22,LIE,Liechtenstein,12,0.0,0.0,0.0,0.0,0.0
Asia,2020-12-22,QAT,Qatar,12,0.0,0.0,0.0,0.0,0.0
Europe,2020-12-22,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
Europe,2020-12-23,DNK,Denmark,12,4.0,1.0,0.0,8.0,8.0
Asia,2020-12-23,ISR,Israel,12,62840.0,34925.0,0.0,139760.0,139760.0
Europe,2020-12-23,NOR,Norway,12,0.0,0.0,0.0,7.0,7.0
North America,2020-12-23,CAN,Canada,12,8486.0,4581.0,0.0,0.0,35089.0
Asia,2020-12-23,BHR,Bahrain,12,0.0,0.0,0.0,38965.0,38965.0
Asia,2020-12-23,QAT,Qatar,12,0.0,1351.0,0.0,0.0,0.0
Europe,2020-12-23,RUS,Russia,12,0.0,12592.0,0.0,0.0,0.0
Asia,2020-12-23,CHN,China,12,0.0,187500.0,0.0,0.0,0.0
