continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
North America,2021-02-01,GRL,Greenland,2,0.0,77.0,0.0,0.0,0.0
Europe,2021-02-01,ISL,Iceland,2,0.0,189.0,0.0,0.0,0.0
Asia,2021-02-01,AZE,Azerbaijan,2,0.0,3250.0,0.0,0.0,0.0
Asia,2021-02-01,BHR,Bahrain,2,0.0,7712.0,0.0,172912.0,0.0
Europe,2021-02-01,SVN,Slovenia,2,53.0,2534.0,26811.0,54801.0,81612.0
Europe,2021-02-01,ITA,Italy,2,85612.0,82596.0,722176.0,1386651.0,2108827.0
South America,2021-02-01,CHL,Chile,2,0.0,94.0,10404.0,57007.0,67411.0
Europe,2021-02-01,CYP,Cyprus,2,0.0,1093.0,0.0,0.0,0.0
Europe,2021-02-01,GRC,Greece,2,0.0,16267.0,46566.0,247251.0,293817.0
Asia,2021-02-01,ARE,United Arab Emirates,2,106615.0,124242.0,0.0,0.0,3440777.0
Europe,2021-02-01,SVK,Slovakia,2,11760.0,7056.0,12547.0,147992.0,160539.0
Europe,2021-02-01,HUN,Hungary,2,12524.0,21335.0,68526.0,243136.0,311662.0
North America,2021-02-01,BMU,Bermuda,2,0.0,372.0,0.0,0.0,0.0
Europe,2021-02-01,DNK,Denmark,2,8574.0,9978.0,95581.0,183511.0,279092.0
Asia,2021-02-01,QAT,Qatar,2,0.0,3028.0,0.0,0.0,0.0
Asia,2021-02-01,KWT,Kuwait,2,0.0,6160.0,0.0,0.0,0.0
North America,2021-02-01,USA,United States,2,1099103.0,1355451.0,5927847.0,26023153.0,32222402.0
Europe,2021-02-01,MCO,Monaco,2,0.0,294.0,0.0,0.0,0.0
Europe,2021-02-01,FRO,Faeroe Islands,2,0.0,83.0,0.0,0.0,0.0
North America,2021-02-01,MEX,Mexico,2,1875.0,4300.0,43455.0,631747.0,675202.0
North America,2021-02-01,CAN,Canada,2,18263.0,19363.0,116317.0,859175.0,975492.0
Asia,2021-02-01,OWID_CYN,Northern Cyprus,2,0.0,1403.0,0.0,0.0,0.0
South America,2021-02-01,ECU,Ecuador,2,0.0,454.0,0.0,0.0,0.0
Europe,2021-02-01,RUS,Russia,2,0.0,88538.0,0.0,0.0,0.0
Europe,2021-02-01,DEU,Germany,2,120639.0,96560.0,663810.0,2009179.0,2672989.0
