continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2021-01-01,DEU,Germany,1,18934.0,40315.0,1051.0,224623.0,225674.0
Asia,2021-01-01,CHN,China,1,0.0,232143.0,0.0,0.0,0.0
Europe,2021-01-01,PRT,Portugal,1,0.0,5557.0,0.0,32749.0,32749.0
Europe,2021-01-01,SWE,Sweden,1,0.0,1917.0,0.0,0.0,0.0
Europe,2021-01-01,BEL,Belgium,1,8.0,128.0,17.0,813.0,813.0
North America,2021-01-01,USA,United States,1,0.0,302329.0,0.0,0.0,0.0
Europe,2021-01-01,RUS,Russia,1,0.0,68000.0,0.0,0.0,0.0
North America,2021-01-01,MEX,Mexico,1,0.0,4051.0,0.0,0.0,0.0
South America,2021-01-01,ARG,Argentina,1,0.0,11070.0,0.0,0.0,0.0
Europe,2021-01-01,POL,Poland,1,0.0,11749.0,0.0,0.0,0.0
Europe,2021-01-01,FRA,France,1,67.0,89.0,0.0,467.0,467.0
Asia,2021-01-01,BHR,Bahrain,1,708.0,1258.0,0.0,59351.0,59351.0
Europe,2021-01-01,HRV,Croatia,1,0.0,1105.0,0.0,0.0,0.0
Europe,2021-01-01,BLR,Belarus,1,0.0,403.0,0.0,0.0,0.0
Europe,2021-01-01,LUX,Luxembourg,1,0.0,62.0,0.0,0.0,0.0
Europe,2021-01-01,BGR,Bulgaria,1,0.0,1007.0,0.0,4739.0,4739.0
Europe,2021-01-01,LVA,Latvia,1,0.0,486.0,0.0,0.0,0.0
Europe,2021-01-01,DNK,Denmark,1,2279.0,5221.0,0.0,36556.0,36556.0
Asia,2021-01-01,QAT,Qatar,1,0.0,1351.0,0.0,0.0,0.0
South America,2021-01-01,CHL,Chile,1,0.0,493.0,0.0,8649.0,8649.0
North America,2021-01-01,CAN,Canada,1,6208.0,8342.0,0.0,0.0,103790.0
Europe,2021-01-01,ISL,Iceland,1,0.0,63.0,0.0,0.0,0.0
North America,2021-01-01,CYM,Cayman Islands,1,0.0,275.0,0.0,0.0,0.0
North America,2021-01-01,CRI,Costa Rica,1,0.0,240.0,0.0,0.0,0.0
Europe,2021-01-01,GRC,Greece,1,264.0,539.0,0.0,2603.0,2603.0
Asia,2021-01-01,KWT,Kuwait,1,0.0,1121.0,0.0,0.0,0.0
Europe,2021-01-01,LTU,Lithuania,1,0.0,1458.0,0.0,9742.0,9742.0
Europe,2021-01-01,MCO,Monaco,1,0.0,126.0,0.0,0.0,0.0
Europe,2021-01-01,FIN,Finland,1,0.0,459.0,0.0,0.0,0.0
Europe,2021-01-01,HUN,Hungary,1,0.0,1578.0,0.0,0.0,0.0
Europe,2021-01-01,NOR,Norway,1,6.0,312.0,0.0,2192.0,2192.0
Asia,2021-01-01,ISR,Israel,1,71230.0,115684.0,0.0,1061322.0,1061322.0
Europe,2021-01-01,IRL,Ireland,1,0.0,550.0,0.0,0.0,0.0
Europe,2021-01-01,CZE,Czechia,1,261.0,2156.0,0.0,12032.0,12032.0
Asia,2021-01-01,OMN,Oman,1,0.0,1289.0,0.0,0.0,0.0
Europe,2021-01-01,LIE,Liechtenstein,1,0.0,0.0,0.0,0.0,0.0
Europe,2021-01-01,ROU,Romania,1,1367.0,2138.0,0.0,11656.0,11656.0
Europe,2021-01-01,EST,Estonia,1,0.0,457.0,0.0,2476.0,2476.0
Europe,2021-01-01,AUT,Austria,1,6.0,860.0,0.0,5033.0,5033.0
Europe,2021-01-01,ITA,Italy,1,11064.0,8744.0,0.0,50905.0,50905.0
Europe,2021-01-01,SVN,Slovenia,1,150.0,1061.0,0.0,11392.0,11392.0
Europe,2021-01-02,DEU,Germany,1,52547.0,42354.0,1335.0,276886.0,278221.0
Asia,2021-01-02,KWT,Kuwait,1,0.0,1121.0,0.0,0.0,0.0
Europe,2021-01-02,IRL,Ireland,1,0.0,550.0,0.0,0.0,0.0
Europe,2021-01-02,LTU,Lithuania,1,0.0,1215.0,0.0,9742.0,9742.0
South America,2021-01-02,CHL,Chile,1,0.0,44.0,0.0,8649.0,8649.0
Europe,2021-01-02,EST,Estonia,1,30.0,386.0,0.0,2506.0,2506.0
North America,2021-01-02,CAN,Canada,1,4942.0,8616.0,0.0,0.0,108732.0
Europe,2021-01-02,FRA,France,1,78.0,88.0,0.0,545.0,545.0
Europe,2021-01-02,RUS,Russia,1,0.0,68000.0,0.0,800000.0,800000.0
North America,2021-01-02,CRI,Costa Rica,1,0.0,240.0,0.0,0.0,0.0
Europe,2021-01-02,LUX,Luxembourg,1,0.0,62.0,0.0,0.0,0.0
Europe,2021-01-02,HUN,Hungary,1,0.0,1722.0,0.0,0.0,0.0
Asia,2021-01-02,OMN,Oman,1,0.0,1103.0,0.0,7231.0,7231.0
Europe,2021-01-02,LVA,Latvia,1,0.0,417.0,0.0,0.0,0.0
Asia,2021-01-02,ISR,Israel,1,71618.0,121262.0,0.0,1132940.0,1132940.0
Asia,2021-01-02,CHN,China,1,0.0,276786.0,0.0,0.0,0.0
Europe,2021-01-02,BLR,Belarus,1,0.0,403.0,0.0,0.0,0.0
South America,2021-01-02,ARG,Argentina,1,0.0,8776.0,0.0,0.0,0.0
North America,2021-01-02,MEX,Mexico,1,0.0,4407.0,0.0,0.0,0.0
Asia,2021-01-02,QAT,Qatar,1,0.0,1351.0,0.0,0.0,0.0
Asia,2021-01-02,BHR,Bahrain,1,746.0,1220.0,0.0,60097.0,60097.0
Europe,2021-01-02,BEL,Belgium,1,13.0,105.0,30.0,826.0,826.0
North America,2021-01-02,CYM,Cayman Islands,1,0.0,275.0,0.0,0.0,0.0
Europe,2021-01-02,POL,Poland,1,0.0,9678.0,0.0,50391.0,50391.0
Europe,2021-01-02,NOR,Norway,1,0.0,312.0,0.0,2192.0,2192.0
Europe,2021-01-02,BGR,Bulgaria,1,0.0,799.0,0.0,0.0,0.0
Europe,2021-01-02,SVN,Slovenia,1,404.0,951.0,0.0,11796.0,11796.0
Europe,2021-01-02,PRT,Portugal,1,1.0,4631.0,0.0,32750.0,32750.0
Europe,2021-01-02,FIN,Finland,1,0.0,459.0,0.0,0.0,0.0
Europe,2021-01-02,HRV,Croatia,1,0.0,1105.0,0.0,0.0,0.0
Europe,2021-01-02,MCO,Monaco,1,0.0,126.0,0.0,0.0,0.0
Europe,2021-01-02,ITA,Italy,1,38556.0,13713.0,0.0,89461.0,89461.0
North America,2021-01-02,USA,United States,1,0.0,325882.0,0.0,4225756.0,4225756.0
