continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Europe,2021-03-01,ITA,Italy,3,135659.0,119145.0,1448917.0,3085250.0,4534167.0
North America,2021-03-01,DOM,Dominican Republic,3,0.0,5956.0,0.0,60000.0,60000.0
North America,2021-03-01,MEX,Mexico,3,71768.0,113351.0,567338.0,1959525.0,2526863.0
South America,2021-03-01,BOL,Bolivia,3,0.0,491.0,0.0,0.0,0.0
Europe,2021-03-01,SMR,San Marino,3,0.0,120.0,0.0,275.0,275.0
Africa,2021-03-01,SYC,Seychelles,3,0.0,1723.0,24230.0,55901.0,80131.0
Europe,2021-03-01,LUX,Luxembourg,3,1328.0,1028.0,11466.0,27655.0,39121.0
Europe,2021-03-01,BEL,Belgium,3,13388.0,17858.0,337152.0,536553.0,873026.0
Asia,2021-03-01,JOR,Jordan,3,0.0,11719.0,0.0,0.0,0.0
Asia,2021-03-01,ISR,Israel,3,106764.0,98116.0,3457602.0,4763137.0,8220739.0
Asia,2021-03-01,SYR,Syria,3,0.0,0.0,0.0,0.0,0.0
South America,2021-03-01,BRA,Brazil,3,31835.0,205292.0,1923197.0,6542206.0,8465403.0
South America,2021-03-01,VEN,Venezuela,3,0.0,1204.0,0.0,0.0,0.0
North America,2021-03-01,CAN,Canada,3,59141.0,55441.0,538239.0,1407961.0,1946200.0
Europe,2021-03-01,EST,Estonia,3,3466.0,3497.0,35076.0,81100.0,116176.0
Asia,2021-03-01,HKG,Hong Kong,3,6408.0,3866.0,0.0,27109.0,27109.0
Europe,2021-03-01,IMN,Isle of Man,3,546.0,599.0,7682.0,14316.0,21998.0
North America,2021-03-01,BRB,Barbados,3,2510.0,3148.0,0.0,41125.0,41125.0
Europe,2021-03-01,PRT,Portugal,3,14523.0,28027.0,280201.0,631501.0,911710.0
Africa,2021-03-01,ZAF,South Africa,3,2520.0,7141.0,73047.0,73047.0,73047.0
North America,2021-03-01,CRI,Costa Rica,3,0.0,6947.0,46117.0,103695.0,149812.0
Asia,2021-03-01,TUR,Turkey,3,226843.0,276774.0,1799160.0,6975558.0,8774718.0
Asia,2021-03-01,SAU,Saudi Arabia,3,0.0,40659.0,0.0,0.0,885411.0
Europe,2021-03-01,HRV,Croatia,3,0.0,6703.0,59983.0,153085.0,213068.0
Europe,2021-03-01,BLR,Belarus,3,0.0,455.0,0.0,0.0,0.0
Europe,2021-03-01,GGY,Guernsey,3,0.0,256.0,0.0,0.0,0.0
Europe,2021-03-01,CHE,Switzerland,3,21338.0,19580.0,274370.0,559830.0,834200.0
North America,2021-03-01,NIC,Nicaragua,3,0.0,0.0,0.0,0.0,0.0
Europe,2021-03-01,MCO,Monaco,3,0.0,294.0,0.0,0.0,0.0
South America,2021-03-01,GUY,Guyana,3,0.0,547.0,0.0,0.0,0.0
North America,2021-03-01,BLZ,Belize,3,0.0,208.0,0.0,0.0,0.0
South America,2021-03-01,SUR,Suriname,3,0.0,368.0,0.0,0.0,0.0
Europe,2021-03-01,SVN,Slovenia,3,1137.0,4182.0,52519.0,125221.0,177740.0
Europe,2021-03-01,FIN,Finland,3,14539.0,14750.0,82062.0,384476.0,466538.0
Asia,2021-03-01,OMN,Oman,3,0.0,1867.0,0.0,0.0,0.0
South America,2021-03-01,ARG,Argentina,3,24166.0,46705.0,293957.0,755212.0,1049169.0
North America,2021-03-01,DMA,Dominica,3,0.0,706.0,0.0,7202.0,7202.0
North America,2021-03-01,HND,Honduras,3,0.0,276.0,0.0,0.0,0.0
Asia,2021-03-01,CHN,China,3,0.0,668496.0,0.0,0.0,0.0
Europe,2021-03-01,LTU,Lithuania,3,7570.0,7296.0,73974.0,173535.0,247509.0
Europe,2021-03-01,FRA,France,3,116265.0,121083.0,1651881.0,3136773.0,4788654.0
Africa,2021-03-01,ZWE,Zimbabwe,3,2613.0,2877.0,0.0,21456.0,21456.0
North America,2021-03-01,TTO,Trinidad and Tobago,3,0.0,106.0,0.0,0.0,0.0
Asia,2021-03-01,JPN,Japan,3,0.0,2836.0,0.0,31785.0,31785.0
North America,2021-03-01,USA,United States,3,1663984.0,1817502.0,25466405.0,50732997.0,76899987.0
Asia,2021-03-01,KOR,South Korea,3,0.0,13576.0,0.0,0.0,0.0
Africa,2021-03-01,MUS,Mauritius,3,0.0,3242.0,0.0,0.0,0.0
Europe,2021-03-01,CYP,Cyprus,3,0.0,3129.0,0.0,0.0,0.0
Europe,2021-03-01,AUT,Austria,3,8875.0,18339.0,247471.0,462231.0,709702.0
Asia,2021-03-01,PAK,Pakistan,3,0.0,13196.0,0.0,0.0,0.0
Europe,2021-03-01,RUS,Russia,3,0.0,88538.0,0.0,0.0,0.0
Europe,2021-03-01,NOR,Norway,3,6055.0,15541.0,168974.0,342954.0,511928.0
Asia,2021-03-01,KWT,Kuwait,3,0.0,8810.0,0.0,0.0,0.0
Asia,2021-03-01,ARE,United Arab Emirates,3,7956.0,67232.0,0.0,0.0,6028417.0
Asia,2021-03-01,NPL,Nepal,3,0.0,44361.0,0.0,0.0,0.0
Africa,2021-03-01,SHN,Saint Helena,3,0.0,75.0,0.0,0.0,0.0
Asia,2021-03-01,IRN,Iran,3,0.0,3806.0,0.0,0.0,0.0
Europe,2021-03-01,ALB,Albania,3,0.0,1081.0,0.0,0.0,14295.0
Europe,2021-03-01,FRO,Faeroe Islands,3,0.0,140.0,0.0,0.0,0.0
Africa,2021-03-01,RWA,Rwanda,3,0.0,4170.0,0.0,0.0,0.0
Asia,2021-03-01,LKA,Sri Lanka,3,42925.0,22132.0,0.0,509275.0,509275.0
North America,2021-03-01,BMU,Bermuda,3,0.0,616.0,0.0,0.0,21387.0
Asia,2021-03-01,BGD,Bangladesh,3,0.0,131123.0,0.0,0.0,0.0
Europe,2021-03-01,DEU,Germany,3,195891.0,170735.0,2231321.0,4297306.0,6528595.0
Europe,2021-03-01,ROU,Romania,3,32149.0,22276.0,618240.0,946781.0,1565021.0
Africa,2021-03-01,EGY,Egypt,3,0.0,2915.0,0.0,0.0,0.0
Europe,2021-03-01,HUN,Hungary,3,37586.0,44530.0,252847.0,721677.0,974524.0
