continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
Asia,2021-05-01,MDV,Maldives,5,0.0,4486.0,102589.0,296961.0,399550.0
North America,2021-05-01,KNA,Saint Kitts and Nevis,5,0.0,94.0,0.0,0.0,0.0
Africa,2021-05-01,BWA,Botswana,5,0.0,401.0,0.0,0.0,0.0
Europe,2021-05-01,GBR,United Kingdom,5,515479.0,503641.0,15329617.0,34505380.0,49834997.0
Africa,2021-05-01,COM,Comoros,5,0.0,1442.0,0.0,0.0,0.0
Europe,2021-05-01,SRB,Serbia,5,11214.0,38969.0,1497517.0,2028302.0,3525819.0
Europe,2021-05-01,HRV,Croatia,5,6455.0,17387.0,200518.0,707057.0,907575.0
Africa,2021-05-01,STP,Sao Tome and Principe,5,0.0,53.0,0.0,0.0,0.0
Africa,2021-05-01,KEN,Kenya,5,0.0,10587.0,0.0,0.0,0.0
Europe,2021-05-01,GGY,Guernsey,5,0.0,368.0,0.0,0.0,0.0
Europe,2021-05-01,FRO,Faeroe Islands,5,0.0,470.0,0.0,0.0,0.0
Asia,2021-05-01,MMR,Myanmar,5,0.0,67615.0,0.0,0.0,0.0
Asia,2021-05-01,LBN,Lebanon,5,32.0,7604.0,168481.0,293277.0,461758.0
Europe,2021-05-01,AND,Andorra,5,0.0,124.0,0.0,0.0,0.0
Europe,2021-05-01,IMN,Isle of Man,5,0.0,511.0,15777.0,56849.0,72626.0
Africa,2021-05-01,CPV,Cape Verde,5,0.0,390.0,0.0,0.0,0.0
Africa,2021-05-01,MUS,Mauritius,5,0.0,2109.0,0.0,0.0,0.0
North America,2021-05-01,JAM,Jamaica,5,0.0,570.0,0.0,0.0,0.0
Europe,2021-05-01,MLT,Malta,5,3879.0,4024.0,108216.0,231511.0,339727.0
Africa,2021-05-01,NGA,Nigeria,5,0.0,7753.0,0.0,1222109.0,1222109.0
Europe,2021-05-01,MKD,North Macedonia,5,0.0,1846.0,0.0,0.0,0.0
Asia,2021-05-01,BTN,Bhutan,5,76.0,117.0,0.0,480498.0,480498.0
Asia,2021-05-01,LKA,Sri Lanka,5,37838.0,8575.0,63192.0,928107.0,991299.0
Africa,2021-05-01,GIN,Guinea,5,0.0,2133.0,0.0,0.0,0.0
North America,2021-05-01,BLZ,Belize,5,0.0,545.0,0.0,0.0,0.0
North America,2021-05-01,AIA,Anguilla,5,0.0,253.0,0.0,0.0,0.0
Oceania,2021-05-01,NRU,Nauru,5,0.0,239.0,0.0,0.0,0.0
Asia,2021-05-01,BRN,Brunei,5,0.0,432.0,0.0,0.0,0.0
Europe,2021-05-01,ITA,Italy,5,432490.0,410635.0,6164702.0,14431765.0,20516824.0
